qtd,time_on,time_off,q264,q464,q750,q1264,q1864,q2564,withtoff,is_pc,is_mob
0,0.174013,0,0.6233,0.3767,0,0,0,0,0,1,0
0,0.044802,0,0.0091,0.0137,0.0228,0.1096,0.3333,0.5114,0,0,1
0,0.003752,0,0,1,0,0,0,0,0,1,0
0.052632,0.040329,0.018746,0.8144,0.0175,0.0175,0.0175,0.0175,0.1156,1,1,0
0.052632,0.07693,0.048413,0.0368,0.0368,0.0378,0.0387,0.0378,0.8122,1,1,0
0,0.003102,0,1,0,0,0,0,0,0,0,1
0,0.006709,0,1,0,0,0,0,0,0,1,0
0.026316,0.128779,0.018783,0.6408,0.0677,0.0669,0.0644,0.0611,0.0991,1,1,0
0.026316,0.064389,0.087944,0.5413,0.0116,0.0116,0.0116,0.0132,0.4109,1,1,0
0,0.00404,0,0.0476,0.0476,0.0476,0.0476,0.0476,0.7619,0,1,0
0.026316,0.105259,0.049214,0.8137,0.1528,0.0335,0,0,0,1,1,0
0,0.013347,0,0.7705,0.0492,0.0492,0.0328,0.0328,0.0656,0,1,0
0,0.034125,0,0.006,0,0.006,0.0179,0.0238,0.9464,0,0,1
0.026316,0.003247,0.107892,0.4444,0.5556,0,0,0,0,1,1,0
0,0.132674,0,0.3654,0.175,0.1681,0.2058,0.0738,0.012,0,1,0
0.052632,0.013467,0.028465,0.148,0.1122,0.1071,0.1071,0.1224,0.4031,1,1,0
0,0.009884,0,0.3878,0.0816,0.0612,0.0612,0.0612,0.3469,0,1,0
0.026316,0.224443,0.010993,0.1399,0.0428,0.0501,0.0407,0.0334,0.6931,1,1,0
0.026316,0.010533,0.08707,0.219,0.0095,0.0095,0.7619,0,0,1,1,0
0,0.004617,0,0.1852,0.1852,0.1852,0.1852,0.1852,0.0741,0,1,0
0.026316,0.090398,0.025044,0.2319,0.0166,0.0166,0.0178,0.0178,0.6992,1,1,0
0,0.263617,0,0.0103,0,0,0,0,0.9897,0,0,1
0.078947,0.081307,0.014876,0.0121,0.257,0.0121,0.0114,0.0114,0.696,1,1,0
0.105263,0.076878,0.060989,0.0647,0.0953,0.3586,0.4559,0.0255,0,1,0,1
0.026316,0.035712,0.081829,0.9368,0.0632,0,0,0,0,1,1,0
0.078947,0.035261,0.05465,0.4244,0.1956,0.1255,0.0867,0.0609,0.107,1,1,0
0.026316,0.032321,0.012667,0.8789,0.1211,0,0,0,0,1,1,0
0.026316,0.204134,0.050233,0.0037,0.0047,0.0068,0.0053,0.0074,0.9721,1,0,1
0,0.045307,0,0.8177,0.0156,0.0156,0.0469,0.1042,0,0,1,0
0,0.097684,0,0.8454,0.1495,0.0052,0,0,0,0,1,0
0,0.001587,0,0.2222,0.1111,0.1111,0.2222,0.3333,0,0,1,0
0,0.010317,0,1,0,0,0,0,0,0,1,0
0.052632,0.062718,0.09486,0.2664,0.0125,0.0147,0.0147,0.0125,0.6791,1,1,0
0.078947,0.043052,0.178121,0.6913,0.0246,0.0285,0.0272,0.0272,0.201,1,1,0
0,0.028714,0,0.0362,0.0435,0.0435,0.058,0.0652,0.7536,0,1,0
0,0.131015,0,0.0694,0.099,0.0972,0.3819,0.2205,0.1319,0,1,0
0,0.142703,0,0.1278,0.006,0.0075,0.006,0.006,0.8466,0,1,0
0,0.004329,0,0.0526,0,0.0526,0,0.0526,0.8421,0,1,0
0.026316,0.01883,0.023879,0.8759,0.1241,0,0,0,0,1,1,0
0,0.003535,0,0.05,0.05,0.05,0.85,0,0,0,1,0
0.052632,0.111776,0.030176,0.9665,0.0064,0.0077,0.0045,0.0045,0.0103,1,1,0
0,0.007647,0,0.2821,0.4103,0.3077,0,0,0,0,1,0
0,0.003752,0,0.6,0.2,0.15,0.05,0,0,0,1,0
0,0.068033,0,0.2303,0.041,0.0347,0.0379,0.2744,0.3817,0,1,0
0,0.001659,0,1,0,0,0,0,0,0,1,0
0.026316,0.088702,0.064429,0.0753,0.0469,0.0432,0.0481,0.3728,0.4136,1,1,0
0,0.007287,0,0.2222,0.2222,0.3056,0.25,0,0,0,1,0
0,0.021138,0,0.1919,0.1717,0.1515,0.1111,0.0909,0.2828,0,1,0
0.026316,0.106666,0.027373,0.0592,0.0812,0.1013,0.2076,0.2066,0.344,1,1,0
0,0.000577,0,0.2,0.2,0.2,0.4,0,0,0,1,0
0,0.000361,0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0,1,0
0.026316,0.071279,0.116118,0.9744,0.0256,0,0,0,0,1,1,0
0,0.004184,0,0.0357,0.0714,0,0,0.4286,0.4643,0,0,1
0,0.002525,0,0.2857,0.1429,0.1429,0.1429,0.2857,0,0,1,0
0,0.006637,0,0.0286,0.0286,0.2571,0.6857,0,0,0,1,0
0,0.073588,0,0.2791,0.1686,0.2035,0.2151,0.1192,0.0145,0,1,0
0,0.06392,0,0.0123,0.071,0.0648,0.0093,0.1235,0.7191,0,0,1
0,0.3626,0,0.9741,0.0259,0,0,0,0,0,1,0
0,0.003391,0,0.1429,0.0952,0.7619,0,0,0,0,0,1
0,0.408268,0,0.7025,0.0032,0.0026,0.0026,0.1181,0.171,0,1,0
